link_id,name,from_node_id,to_node_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,agent_type_code,geometry
,East Broadway Road,109,974,,1,1,0.169585047,1,60,1800,,"LINESTRING (-111.931138 33.407523 ,-111.934072 33.407455 )"
,East el Parque Drive,111,525,,1,1,0.10644115,1,60,1800,,"LINESTRING (-111.931073 33.406630 ,-111.932918 33.406616 )"
,East el Parque Drive,525,111,,1,1,0.10644115,1,60,1800,,"LINESTRING (-111.932918 33.406615 ,-111.931073 33.406630 )"
,South Sierra Vista Drive,111,113,,1,1,0.054954205,1,60,1800,,"LINESTRING (-111.931073 33.406630 ,-111.931082 33.405835 )"
,South Sierra Vista Drive,113,111,,1,1,0.054954205,1,60,1800,,"LINESTRING (-111.931081 33.405834 ,-111.931073 33.406630 )"
,South Sierra Vista Drive,111,979,,1,1,0.055873836,1,60,1800,,"LINESTRING (-111.931073 33.406630 ,-111.931138 33.407433 )"
,South Sierra Vista Drive,979,111,,1,1,0.055873836,1,60,1800,,"LINESTRING (-111.931138 33.407433 ,-111.931073 33.406630 )"
,East Aepli Drive,113,2022,,1,1,0.05546373,1,60,1800,,"LINESTRING (-111.931081 33.405834 ,-111.930120 33.405849 )"
,East Aepli Drive,2022,113,,1,1,0.05546373,1,60,1800,,"LINESTRING (-111.930120 33.405849 ,-111.931081 33.405835 )"
,East Aepli Drive,113,2021,,1,1,0.100345483,1,60,1800,,"LINESTRING (-111.931081 33.405835 ,-111.932764 33.405641 )"
,East Aepli Drive,2021,113,,1,1,0.100345483,1,60,1800,,"LINESTRING (-111.932764 33.405641 ,-111.931081 33.405834 )"
,South Sierra Vista Drive,113,115,,1,1,0.054954205,1,60,1800,,"LINESTRING (-111.931082 33.405834 ,-111.931082 33.405039 )"
,South Sierra Vista Drive,115,113,,1,1,0.054954205,1,60,1800,,"LINESTRING (-111.931081 33.405039 ,-111.931081 33.405835 )"
,South Sierra Vista Drive,113,111,,1,1,0.054954205,1,60,1800,,"LINESTRING (-111.931081 33.405834 ,-111.931073 33.406630 )"
,South Sierra Vista Drive,111,113,,1,1,0.054954205,1,60,1800,,"LINESTRING (-111.931073 33.406630 ,-111.931082 33.405835 )"
,South Sierra Vista Drive,115,113,,1,1,0.054954205,1,60,1800,,"LINESTRING (-111.931081 33.405039 ,-111.931081 33.405835 )"
,South Sierra Vista Drive,113,115,,1,1,0.054954205,1,60,1800,,"LINESTRING (-111.931082 33.405834 ,-111.931082 33.405039 )"
,East Bonita Way,146,2573,,1,1,0.003709595,1,60,1800,,"LINESTRING (-111.939842 33.408653 ,-111.939779 33.408663 )"
,East Bonita Way,2573,146,,1,1,0.003709595,1,60,1800,,"LINESTRING (-111.939779 33.408663 ,-111.939842 33.408653 )"
,East Bonita Way,150,3712,,1,1,0.191830191,1,60,1800,,"LINESTRING (-111.938179 33.408598 ,-111.936012 33.409506 )"
,East Bonita Way,3712,150,,1,1,0.191830191,1,60,1800,,"LINESTRING (-111.936012 33.409506 ,-111.938179 33.408599 )"
